ProductionOrder,OrderDate,FinishedItem,FinishedItemName,ProductionUOM,PlannedQtyFinished,TotalProductionCost,ProducedQty,TotalWasteCost,UnitProductionCost
26000034,1/12/2026,1011050,سيلك رود طحينية 1 كغم مطرة 1*12,حبة,15,26.09,15,0,1.739333333
26000035,1/14/2026,1011025,شيخ الكار طحينية 600 غم 1*12,حبة,1320,1450.13,1320,0,1.098583333
26000036,1/18/2026,1011003,الموسم طحينية 18 كغم تنك 1*1,حبة,135,3995.19,135,0,29.594
26000037,1/14/2026,1011101,الموسم طحينية 400 غم 1*12,حبة,1572,1299.73,1572,0,0.826800254
26000038,1/14/2026,1011045,عرفة طحينية 900 غم 1*12,حبة,1212,1722.106,1212,0,1.420879538
26000039,1/14/2026,1011027,شيخ الكار طحينية 18 كغم تنك 1*1,تنكة,300,8579.4,300,0,28.598
26000040,1/14/2026,1011005,ميار طحينية 250 غم 1*12,حبة,3000,1299.09,3000,0,0.43303
26000041,1/14/2026,1011026,شيخ الكار طحينية 400 غم 1*12,حبة,1212,931.272,1212,9.09495E-14,0.768376238
26000042,1/14/2026,1011024,شيخ الكار طحينية 250 غم 1*12,حبة,1404,716.157,1404,0,0.510083333
26000043,1/18/2026,1171017,طحينية بلك ميار - موسم  كروما,kg,20000,30930.4,20000,0,1.54652
