G/L Acct/BP Code,Name,Local Currency - Jordanian Dinar - OB,Local Currency - Jordanian Dinar - Debit,Local Currency - Jordanian Dinar - Credit,Local Currency - Jordanian Dinar - Balance
Assets,,,,,
,,,,,
,,__________________,__________________,__________________,__________________
Total 601,مصاريف صناعية,,414162.341,61640.794,352521.547
,,,,,
602,مصاريف بيع وتوزيع,,,,
,,,,,
60201,مصاريف البيع و التوزيع,,,,
,,,,,
6020101,مصاريف بيع وتوزيع,,,,
,,,,,
6020101002,مصاريف تصدير,,10026.5,337.25,9689.25
6020101003,مصروف خصم مسموح به,,23354.369,9679.462,13674.907
,,__________________,__________________,__________________,__________________
Total 6020101,مصاريف بيع وتوزيع,,33380.869,10016.712,23364.157
,,,,,
,,__________________,__________________,__________________,__________________
Total 60201,مصاريف البيع و التوزيع,,33380.869,10016.712,23364.157
,,,,,
,,__________________,__________________,__________________,__________________
Total 602,مصاريف بيع وتوزيع,,33380.869,10016.712,23364.157
,,,,,
603,مصاريف ادارية,,,,
,,,,,
60301,مصاريف ادارية,,,,
,,,,,
6030101,مصاريف رواتب وأجور - ادارية,,,,
,,,,,
6030101002,مصاريف ضيافة - ادارية,,202.55,,202.55
6030101009,مصاريف قرطاسية - ادارية,,1049,,1049
6030101011,مصاريف أتعاب مهنية,,6250,,6250
6030101012,مصروف عمولات زين كاش,,309.093,249.93,59.163
6030101013,مصروف رسوم شهرية واشتراكات,,3250,1450,1800
6030101014,مصاريف حكومية,,1125.788,,1125.788
,,__________________,__________________,__________________,__________________
Total 6030101,مصاريف رواتب وأجور - ادارية,,12186.431,1699.93,10486.501
,,__________________,__________________,__________________,__________________
Total 60301,مصاريف ادارية,,12186.431,1699.93,10486.501
,,__________________,__________________,__________________,__________________
Total 603,مصاريف ادارية,,12186.431,1699.93,10486.501
,,__________________,__________________,__________________,__________________
Total Operating Costs,,,459729.641,73357.436,386372.205
,,,,,
Non-Operating Income and Expenditure,,,,,
,,__________________,__________________,__________________,__________________
Total Non-Operating Income and Expenditure,,,,,
,,,,,
Taxation and Extraordinary Items,,,,,
,,__________________,__________________,__________________,__________________
Total Taxation and Extraordinary Items,,,,,
,,,,,
#9,,,,,
,,__________________,__________________,__________________,__________________
Total #9,,,,,
,,,,,
#10,,,,,
,,__________________,__________________,__________________,__________________
Total #10,,,,,
,,,,,
,,=============,=============,=============,=============
Total,,,5006908291,5006908291,
,,,,,
Customers:,,,,,
,,,,,
Customers,,,,,
,,,,,
210000714,مفلس,,18.446,9.223,9.223
,,__________________,__________________,__________________,__________________
Total Customers,,,18.446,9.223,9.223
,,,,,
OOH BAKERY,,,,,
,,,,,
210000373,مخبز مروج شفا بدران,171.258,1273.581,1046,398.839
210000374,مخبز العمال الالي- الزرقاء,,907.932,649.656,258.276
210000375,وادي القمر للمخابز,705,471784.85,470585.117,1904.733
,,__________________,__________________,__________________,__________________
Total OOH BAKERY,,876.258,473966.363,472280.773,2561.848
,,,,,
Whole sales,,,,,
,,,,,
210000086,شركة خالد حطاب وشريكه,,2350.227,2350.227,
210000091,شركة شمس الاردن للتسويق - فرع الجملة,,12898.879,12898.879,
210000122,أسواق أبو حبل للتموين - الظليل,,21885.546,20255.339,1630.207
210000238,شركة خضر حسين عطية / البيادر,470,10464.864,10934.864,
210000297,محلات الرائد الاستهلاكية  - دير علا,,1070.421,873.091,197.33
210000337,عبدالله ياسر سليمان عبدربه,,425,425,
210000363,مؤسسة أحمد عبدالله للمواد التموينية,,7816.473,5519.084,2297.389
